Date,Date,OPEN,HIGH,LOW,close,VOLUME,VALUE,No_of_trades,Day_percent,Trend_Analysis
2023-03-06,2023-03-06,1966.7,2135.0,1855.0,1982.9,27180456.0,54932839562.45,1230939,-2.7823401073713616,Negative
2023-03-03,2023-03-03,1688.85,1905.95,1685.5,1879.5,22888891.0,41352917851.6,822488,-5.214584699177971,Bottom Negative
2023-03-02,2023-03-02,1499.9,1646.0,1407.9,1607.25,26970925.0,42196200068.15,924791,-14.4852354349561,Bear Drop
2023-03-01,2023-03-01,1424.0,1580.0,1411.0,1564.3,20114340.0,30400282052.45,758963,-2.6722662933582275,Negative
2023-02-28,2023-02-28,1145.0,1398.0,1103.75,1363.85,33948366.0,44371629472.6,1047492,-12.814038227961388,Bear Drop
2023-02-27,2023-02-27,1300.0,1313.8,1131.05,1193.5,10271008.0,12554940831.15,487401,-12.490376507680455,Bear Drop
2023-02-24,2023-02-24,1410.0,1427.0,1261.6,1315.65,8736727.0,11542501086.15,422968,10.234604105571865,Bull Run
2023-02-23,2023-02-23,1380.0,1438.0,1350.0,1382.65,8907540.0,12417096828.45,427592,5.092539809219776,Top Positive
2023-02-22,2023-02-22,1535.0,1560.0,1381.2,1404.85,10606476.0,15266186108.8,509088,1.6056124109499637,positive
2023-02-21,2023-02-21,1626.0,1644.45,1561.3,1571.1,5571915.0,8907400136.15,281877,11.83400363028082,Bull Run
2023-02-20,2023-02-20,1650.0,1685.0,1560.5,1621.45,6762330.0,10981416978.4,334008,3.204760995480882,Top Positive
2023-02-17,2023-02-17,1800.0,1815.85,1703.2,1722.7,5392513.0,9425015185.7,282372,6.24441086681673,Top Positive
2023-02-16,2023-02-16,1820.0,1874.95,1790.0,1796.6,5578515.0,10145002776.5,298112,4.289777674580586,Top Positive
2023-02-15,2023-02-15,1780.0,1824.4,1750.0,1779.1,7636578.0,13655586649.5,385669,-0.9740621173327413,slight negatif
2023-02-14,2023-02-14,1735.0,1889.0,1611.35,1749.7,14579030.0,25317265469.45,687240,-1.6525209375526928,Negative
2023-02-13,2023-02-13,1850.0,1921.7,1662.25,1717.65,12210940.0,21405744070.1,617527,-1.8317425844430413,Negative
2023-02-10,2023-02-10,1769.0,1990.0,1733.15,1846.95,11334878.0,21438181678.75,539738,7.527726836084181,Bull Run
2023-02-09,2023-02-09,2168.0,2168.0,1731.4,1925.7,18279862.0,36061116390.95,829391,4.263786242183065,Top Positive
